#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
493,Arceus,Normal,,120,120,120,120,120,120,4,True,720
144,Articuno,Ice,Flying,90,85,100,95,125,85,1,True,580
482,Azelf,Psychic,,75,125,70,125,70,115,4,True,580
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,5,True,580
491,Darkrai,Dark,,70,90,90,135,90,125,4,True,600
386,DeoxysAttack Forme,Psychic,,50,180,20,180,20,150,3,True,600
386,DeoxysDefense Forme,Psychic,,50,70,160,70,160,90,3,True,600
386,DeoxysNormal Forme,Psychic,,50,150,50,150,50,150,3,True,600
386,DeoxysSpeed Forme,Psychic,,50,95,90,95,90,180,3,True,600
483,Dialga,Steel,Dragon,100,120,120,150,100,90,4,True,680
719,Diancie,Rock,Fairy,50,100,150,100,150,50,6,True,600
719,DiancieMega Diancie,Rock,Fairy,50,160,110,160,110,110,6,True,700
244,Entei,Fire,,115,115,85,90,75,100,2,True,580
487,GiratinaAltered Forme,Ghost,Dragon,150,100,120,100,120,90,4,True,680
487,GiratinaOrigin Forme,Ghost,Dragon,150,120,100,120,100,90,4,True,680
383,Groudon,Ground,,100,150,140,100,90,90,3,True,670
383,GroudonPrimal Groudon,Ground,Fire,100,180,160,150,90,90,3,True,770
485,Heatran,Fire,Steel,91,90,106,130,106,77,4,True,600
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,680
720,HoopaHoopa Confined,Psychic,Ghost,80,110,60,150,130,70,6,True,600
720,HoopaHoopa Unbound,Psychic,Dark,80,160,60,170,130,80,6,True,680
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,3,True,600
382,Kyogre,Water,,100,100,90,150,140,90,3,True,670
382,KyogrePrimal Kyogre,Water,,100,150,90,180,160,90,3,True,770
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,5,True,660
646,KyuremBlack Kyurem,Dragon,Ice,125,170,100,120,90,95,5,True,700
646,KyuremWhite Kyurem,Dragon,Ice,125,120,90,170,100,95,5,True,700
645,LandorusIncarnate Forme,Ground,Flying,89,125,90,115,80,101,5,True,600
645,LandorusTherian Forme,Ground,Flying,89,145,90,105,80,91,5,True,600
380,Latias,Dragon,Psychic,80,80,90,110,130,110,3,True,600
380,LatiasMega Latias,Dragon,Psychic,80,100,120,140,150,110,3,True,700
381,Latios,Dragon,Psychic,80,90,80,130,110,110,3,True,600
381,LatiosMega Latios,Dragon,Psychic,80,130,100,160,120,110,3,True,700
249,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True,680
481,Mesprit,Psychic,,80,105,105,105,105,80,4,True,580
150,Mewtwo,Psychic,,106,110,90,154,90,130,1,True,680
150,MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True,780
150,MewtwoMega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True,780
146,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,580
484,Palkia,Water,Dragon,90,120,100,150,120,100,4,True,680
243,Raikou,Electric,,90,85,75,115,100,115,2,True,580
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,True,680
384,RayquazaMega Rayquaza,Dragon,Flying,105,180,100,180,100,115,3,True,780
378,Regice,Ice,,80,50,100,100,200,50,3,True,580
486,Regigigas,Normal,,110,160,110,80,110,100,4,True,670
377,Regirock,Rock,,80,100,200,50,100,50,3,True,580
379,Registeel,Steel,,80,75,150,75,150,50,3,True,580
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,5,True,680
492,ShayminLand Forme,Grass,,100,100,100,100,100,100,4,True,600
492,ShayminSky Forme,Grass,Flying,100,103,75,120,75,127,4,True,600
245,Suicune,Water,,100,75,115,90,115,85,2,True,580
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,True,580
642,ThundurusIncarnate Forme,Electric,Flying,79,115,70,125,80,111,5,True,580
642,ThundurusTherian Forme,Electric,Flying,79,105,70,145,80,101,5,True,580
641,TornadusIncarnate Forme,Flying,,79,115,70,125,80,111,5,True,580
641,TornadusTherian Forme,Flying,,79,100,80,110,90,121,5,True,580
480,Uxie,Psychic,,75,75,130,75,130,95,4,True,580
494,Victini,Psychic,Fire,100,100,100,100,100,100,5,True,600
640,Virizion,Grass,Fighting,91,90,72,90,129,108,5,True,580
721,Volcanion,Fire,Water,80,110,120,130,90,70,6,True,600
716,Xerneas,Fairy,,126,131,95,131,98,99,6,True,680
717,Yveltal,Dark,Flying,126,131,95,131,98,99,6,True,680
145,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True,580
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,5,True,680
718,Zygarde50% Forme,Dragon,Ground,108,100,121,81,95,95,6,True,600
